c random 500 vertices, 5000 edges, seed = 0
g 500 5000
e 1 2 8239
e 2 3 3760
e 2 4 8379
e 4 5 8503
e 3 6 5683
e 6 7 6866
e 2 8 1399
e 7 9 376
e 1 10 9868
e 5 11 6033
e 3 12 8119
e 12 13 6254
e 10 14 7841
e 2 15 969
e 10 16 5480
e 10 17 7012
e 4 18 5360
e 2 19 85
e 6 20 1999
e 12 21 6288
e 12 22 1043
e 21 23 5489
e 18 24 3757
e 20 25 5395
e 8 26 3671
e 17 27 5969
e 15 28 441
e 4 29 9280
e 12 30 9706
e 27 31 8327
e 6 32 1326
e 12 33 9474
e 11 34 6700
e 29 35 7632
e 4 36 5012
e 18 37 8645
e 7 38 3080
e 1 39 7521
e 10 40 916
e 2 41 490
e 5 42 7519
e 27 43 7633
e 3 44 5863
e 2 45 8233
e 35 46 5078
e 42 47 1083
e 37 48 1858
e 44 49 2416
e 46 50 2835
e 28 51 7212
e 9 52 5946
e 13 53 6315
e 34 54 5750
e 43 55 3071
e 43 56 7108
e 12 57 9084
e 15 58 8148
e 57 59 9534
e 5 60 260
e 8 61 5514
e 19 62 1663
e 34 63 9157
e 50 64 1120
e 50 65 8389
e 24 66 6611
e 53 67 1231
e 31 68 9758
e 65 69 3601
e 18 70 6084
e 31 71 1984
e 29 72 2227
e 67 73 10
e 23 74 2784
e 38 75 4069
e 56 76 6399
e 65 77 3962
e 56 78 2971
e 45 79 2239
e 69 80 2011
e 51 81 7273
e 20 82 5166
e 66 83 1326
e 58 84 3971
e 31 85 7694
e 77 86 7220
e 2 87 5042
e 84 88 5118
e 26 89 1818
e 22 90 5412
e 89 91 2150
e 4 92 6728
e 8 93 1682
e 37 94 1760
e 31 95 5878
e 7 96 7398
e 84 97 7118
e 48 98 195
e 47 99 3884
e 39 100 3677
e 43 101 2584
e 9 102 2418
e 64 103 8606
e 46 104 6843
e 102 105 8064
e 51 106 3512
e 26 107 9151
e 69 108 5578
e 7 109 5144
e 106 110 7123
e 97 111 6445
e 79 112 9568
e 85 113 115
e 22 114 3403
e 33 115 1718
e 2 116 4041
e 2 117 8747
e 8 118 6832
e 45 119 2493
e 69 120 1086
e 18 121 8288
e 7 122 4265
e 53 123 3413
e 100 124 1795
e 114 125 696
e 53 126 2532
e 10 127 475
e 121 128 2374
e 86 129 6703
e 17 130 1943
e 129 131 7720
e 119 132 9945
e 95 133 3432
e 49 134 4767
e 82 135 2822
e 6 136 8845
e 18 137 2769
e 39 138 8678
e 35 139 9096
e 86 140 2664
e 68 141 5986
e 89 142 3843
e 105 143 8204
e 134 144 9219
e 55 145 5774
e 30 146 4149
e 110 147 8267
e 76 148 5963
e 113 149 7060
e 27 150 9846
e 62 151 9349
e 101 152 2476
e 120 153 6328
e 130 154 8235
e 122 155 4633
e 101 156 8645
e 36 157 206
e 105 158 5477
e 80 159 7667
e 15 160 9063
e 42 161 7305
e 112 162 1575
e 124 163 9966
e 137 164 4290
e 17 165 3795
e 37 166 6585
e 7 167 811
e 9 168 727
e 72 169 9645
e 125 170 2241
e 53 171 8290
e 66 172 6696
e 126 173 9989
e 148 174 4831
e 137 175 1824
e 1 176 6786
e 6 177 2270
e 6 178 3454
e 23 179 6174
e 110 180 5485
e 58 181 6417
e 53 182 6579
e 143 183 7755
e 37 184 3380
e 165 185 64
e 21 186 3843
e 24 187 1996
e 110 188 530
e 23 189 1485
e 26 190 2001
e 5 191 3137
e 99 192 260
e 62 193 6370
e 72 194 1381
e 121 195 9692
e 66 196 3533
e 3 197 4831
e 182 198 7205
e 52 199 1671
e 184 200 4902
e 15 201 6993
e 42 202 5767
e 91 203 4924
e 166 204 563
e 194 205 4505
e 109 206 7390
e 100 207 5033
e 50 208 5570
e 33 209 3227
e 31 210 8684
e 38 211 9953
e 135 212 5066
e 129 213 7894
e 166 214 6048
e 107 215 7220
e 151 216 9496
e 197 217 479
e 145 218 5699
e 161 219 3736
e 52 220 2749
e 188 221 2574
e 208 222 7728
e 16 223 9448
e 219 224 439
e 206 225 6314
e 206 226 24
e 119 227 2455
e 148 228 4203
e 53 229 20
e 136 230 5152
e 181 231 9422
e 174 232 8588
e 189 233 114
e 198 234 7590
e 198 235 9242
e 209 236 2007
e 169 237 5277
e 118 238 4613
e 159 239 5736
e 91 240 1951
e 214 241 827
e 166 242 1895
e 183 243 7277
e 227 244 9610
e 193 245 7886
e 97 246 3915
e 44 247 4947
e 64 248 3074
e 150 249 1746
e 113 250 2958
e 32 251 3914
e 28 252 2823
e 185 253 4492
e 91 254 5821
e 216 255 7473
e 182 256 2762
e 54 257 3216
e 179 258 763
e 189 259 3370
e 189 260 2595
e 191 261 737
e 110 262 3753
e 35 263 7405
e 252 264 5302
e 263 265 5799
e 76 266 1373
e 117 267 2727
e 13 268 7096
e 227 269 88
e 192 270 3177
e 43 271 1443
e 132 272 7793
e 24 273 2276
e 91 274 3090
e 253 275 5184
e 155 276 6786
e 218 277 5991
e 277 278 1748
e 121 279 9404
e 234 280 1127
e 239 281 5990
e 86 282 4964
e 96 283 3477
e 134 284 9943
e 180 285 9117
e 28 286 2307
e 240 287 6935
e 242 288 1430
e 23 289 6807
e 39 290 6481
e 106 291 5366
e 193 292 323
e 197 293 7332
e 2 294 884
e 104 295 288
e 13 296 7854
e 163 297 3025
e 204 298 4212
e 171 299 1584
e 235 300 4383
e 219 301 2765
e 82 302 1070
e 188 303 8987
e 45 304 4783
e 69 305 3734
e 33 306 3612
e 138 307 4255
e 26 308 7139
e 281 309 8370
e 32 310 7914
e 107 311 7633
e 34 312 9859
e 261 313 4820
e 102 314 6385
e 244 315 1632
e 216 316 4984
e 271 317 1732
e 2 318 3157
e 243 319 4499
e 188 320 7657
e 297 321 7436
e 210 322 1132
e 47 323 2170
e 167 324 4008
e 58 325 3027
e 249 326 5013
e 70 327 8129
e 1 328 1341
e 175 329 9112
e 171 330 6228
e 62 331 1187
e 116 332 7515
e 45 333 6307
e 20 334 9620
e 150 335 7075
e 104 336 9776
e 182 337 5195
e 131 338 1950
e 338 339 2195
e 129 340 389
e 86 341 4124
e 220 342 8715
e 93 343 4032
e 274 344 6675
e 15 345 9337
e 128 346 9907
e 261 347 9867
e 124 348 7520
e 112 349 5242
e 109 350 3760
e 36 351 5126
e 336 352 2620
e 252 353 2393
e 125 354 6189
e 80 355 3876
e 61 356 2429
e 36 357 2481
e 31 358 7714
e 35 359 5421
e 342 360 9855
e 280 361 6708
e 52 362 1758
e 103 363 2721
e 30 364 4413
e 247 365 9789
e 17 366 930
e 338 367 9305
e 126 368 8823
e 75 369 5302
e 235 370 9804
e 16 371 7298
e 195 372 7603
e 87 373 5294
e 6 374 413
e 129 375 7663
e 102 376 3176
e 193 377 6506
e 334 378 8989
e 40 379 9598
e 208 380 4333
e 154 381 2142
e 180 382 1289
e 159 383 4821
e 201 384 8786
e 264 385 3916
e 138 386 5449
e 69 387 2338
e 167 388 6814
e 366 389 3659
e 98 390 5156
e 222 391 1629
e 333 392 5484
e 95 393 5165
e 307 394 1969
e 11 395 7840
e 142 396 5056
e 259 397 4024
e 122 398 4413
e 341 399 7904
e 160 400 4843
e 377 401 3608
e 272 402 1600
e 336 403 8072
e 319 404 7775
e 368 405 9804
e 5 406 5461
e 268 407 1411
e 88 408 4214
e 285 409 1526
e 192 410 755
e 349 411 4354
e 25 412 9772
e 107 413 7077
e 16 414 5
e 308 415 7385
e 325 416 2662
e 174 417 2261
e 89 418 863
e 290 419 5203
e 375 420 323
e 347 421 9800
e 22 422 5881
e 210 423 6669
e 140 424 390
e 265 425 8633
e 422 426 6695
e 40 427 2815
e 403 428 7781
e 331 429 5164
e 122 430 42
e 270 431 8374
e 356 432 3518
e 73 433 9655
e 267 434 2709
e 120 435 5387
e 182 436 4867
e 343 437 642
e 204 438 4683
e 184 439 5923
e 13 440 9022
e 411 441 8165
e 18 442 6852
e 76 443 5701
e 38 444 3374
e 361 445 7859
e 193 446 8632
e 243 447 5690
e 324 448 9399
e 89 449 5857
e 252 450 417
e 185 451 6769
e 147 452 8213
e 344 453 830
e 153 454 4756
e 434 455 6529
e 124 456 765
e 405 457 9894
e 395 458 2134
e 415 459 2546
e 51 460 8743
e 285 461 3577
e 133 462 6082
e 254 463 8244
e 158 464 8270
e 401 465 3996
e 432 466 5721
e 451 467 8372
e 368 468 1363
e 453 469 8956
e 442 470 2564
e 28 471 2352
e 144 472 8450
e 36 473 1985
e 331 474 1578
e 390 475 8942
e 136 476 115
e 383 477 1908
e 391 478 6961
e 328 479 180
e 148 480 2346
e 467 481 1564
e 334 482 9447
e 379 483 8672
e 210 484 6022
e 26 485 8674
e 71 486 8412
e 184 487 4393
e 55 488 1477
e 325 489 3578
e 258 490 5465
e 17 491 5084
e 141 492 8513
e 290 493 7991
e 299 494 9210
e 384 495 4794
e 206 496 1593
e 451 497 4312
e 265 498 724
e 129 499 300
e 320 500 8674
e 78 301 5495
e 40 343 8156
e 405 491 1059
e 168 313 5149
e 101 171 9962
e 148 207 9963
e 340 342 7414
e 52 347 3122
e 439 479 4676
e 447 464 4624
e 226 241 6233
e 14 147 4204
e 8 57 5061
e 462 463 5738
e 287 454 8166
e 15 447 1963
e 95 438 4382
e 347 487 8579
e 141 455 1053
e 2 268 4392
e 382 465 8421
